Sample#,SampleTime,units,arduino,gps
820,15.10,us,1,0
821,399.59,ms,3,0
822,100.00,ms,3,1
823,389.88,us,3,0
824,15.28,us,2,0
825,499.98,ms,0,0
826,15.47,us,1,0
827,399.58,ms,3,0
828,100.00,ms,3,1
829,397.84,us,3,0
830,15.62,us,2,0
831,499.98,ms,0,0
832,15.80,us,1,0
833,399.57,ms,3,0
834,100.00,ms,3,1
835,405.83,us,3,0
836,15.94,us,2,0
837,499.98,ms,0,0
838,16.16,us,1,0
839,399.56,ms,3,0
840,100.00,ms,3,1
841,413.78,us,3,0
842,16.28,us,2,0
843,499.98,ms,0,0
844,16.46,us,1,0
845,399.56,ms,3,0
846,100.00,ms,3,1
847,421.73,us,3,0
848,16.62,us,2,0
849,499.98,ms,0,0
850,16.80,us,1,0
851,399.55,ms,3,0
852,100.00,ms,3,1
853,429.67,us,3,0
854,17.01,us,2,0
855,499.97,ms,0,0
856,17.12,us,1,0
857,399.54,ms,3,0
858,100.00,ms,3,1
859,437.65,us,3,0
860,17.30,us,2,0
861,499.97,ms,0,0
862,17.47,us,1,0
863,399.53,ms,3,0
864,100.00,ms,3,1
865,445.59,us,3,0
866,17.67,us,2,0
867,499.97,ms,0,0
868,17.81,us,1,0
869,399.52,ms,3,0
870,100.00,ms,3,1
871,453.56,us,3,0
872,17.98,us,2,0
873,499.97,ms,0,0
874,18.14,us,1,0
875,399.51,ms,3,0
876,100.00,ms,3,1
877,461.52,us,3,0
878,18.33,us,2,0
879,499.97,ms,0,0
880,18.49,us,1,0
881,399.51,ms,3,0
882,100.00,ms,3,1
883,469.48,us,3,0
884,18.70,us,2,0
885,499.97,ms,0,0
886,18.81,us,1,0
887,399.50,ms,3,0
888,100.00,ms,3,1
889,477.45,us,3,0
890,19.00,us,2,0
891,499.97,ms,0,0
892,19.15,us,1,0
893,399.49,ms,3,0
894,100.00,ms,3,1
895,485.45,us,3,0
896,19.32,us,2,0
897,499.97,ms,0,0
898,19.51,us,1,0
899,399.48,ms,3,0
900,100.00,ms,3,1
901,493.42,us,3,0
902,19.66,us,2,0
903,499.97,ms,0,0
904,19.85,us,1,0
905,399.47,ms,3,0
906,100.00,ms,3,1
907,501.35,us,3,0
908,20.00,us,2,0
909,499.97,ms,0,0
910,20.17,us,1,0
911,399.46,ms,3,0
912,100.00,ms,3,1
913,509.31,us,3,0
914,20.34,us,2,0
915,499.97,ms,0,0
916,20.53,us,1,0
917,399.46,ms,3,0
918,100.00,ms,3,1
919,517.27,us,3,0
920,20.68,us,2,0
921,499.97,ms,0,0
922,20.88,us,1,0
923,399.45,ms,3,0
924,100.00,ms,3,1
925,525.22,us,3,0
926,21.03,us,2,0
927,499.97,ms,0,0
928,21.18,us,1,0
929,399.44,ms,3,0
930,100.00,ms,3,1
931,533.17,us,3,0
932,21.38,us,2,0
933,499.97,ms,0,0
934,21.54,us,1,0
935,399.43,ms,3,0
936,100.00,ms,3,1
937,541.16,us,3,0
938,21.70,us,2,0
939,499.97,ms,0,0
940,21.89,us,1,0
941,399.42,ms,3,0
942,100.00,ms,3,1
943,549.10,us,3,0
944,22.05,us,2,0
945,499.97,ms,0,0
946,22.21,us,1,0
947,399.41,ms,3,0
948,100.00,ms,3,1
949,557.06,us,3,0
950,22.43,us,2,0
951,499.97,ms,0,0
952,22.53,us,1,0
953,399.41,ms,3,0
954,100.00,ms,3,1
955,565.02,us,3,0
956,22.76,us,2,0
957,499.97,ms,0,0
958,22.86,us,1,0
959,399.40,ms,3,0
960,100.00,ms,3,1
961,572.98,us,3,0
962,23.10,us,2,0
963,499.97,ms,0,0
964,23.27,us,1,0
965,399.39,ms,3,0
966,100.00,ms,3,1
967,580.98,us,3,0
968,23.38,us,2,0
969,499.97,ms,0,0
970,23.58,us,1,0
971,399.38,ms,3,0
972,100.00,ms,3,1
973,588.93,us,3,0
974,23.74,us,2,0
975,499.97,ms,0,0
976,23.91,us,1,0
977,399.37,ms,3,0
978,100.00,ms,3,1
979,596.91,us,3,0
980,24.07,us,2,0
981,499.97,ms,0,0
982,24.26,us,1,0
983,399.37,ms,3,0
984,100.00,ms,3,1
985,604.85,us,3,0
986,24.46,us,2,0
987,499.97,ms,0,0
988,24.59,us,1,0
989,399.36,ms,3,0
990,100.00,ms,3,1
991,612.82,us,3,0
992,24.78,us,2,0
993,499.97,ms,0,0
994,24.94,us,1,0
995,399.35,ms,3,0
996,82.31,ms,3,1
997,8,ns,3,0
998,17.69,ms,3,1
999,620.78,us,3,0
1000,25.14,us,2,0
1001,499.97,ms,0,0
1002,25.29,us,1,0
1003,399.34,ms,3,0
1004,100.00,ms,3,1
1005,628.77,us,3,0
1006,25.44,us,2,0
1007,499.97,ms,0,0
1008,25.62,us,1,0
1009,399.33,ms,3,0
1010,100.00,ms,3,1
1011,636.72,us,3,0
1012,25.81,us,2,0
1013,499.97,ms,0,0
1014,25.99,us,1,0
1015,399.32,ms,3,0
1016,100.00,ms,3,1
1017,644.67,us,3,0
1018,26.18,us,2,0
1019,499.97,ms,0,0
1020,26.34,us,1,0
1021,399.32,ms,3,0
1022,100.00,ms,3,1
1023,652.64,us,3,0
1024,26.52,us,2,0
1025,499.97,ms,0,0
1026,26.69,us,1,0
1027,399.31,ms,3,0
1028,100.00,ms,3,1
1029,660.60,us,3,0
1030,26.86,us,2,0
1031,499.97,ms,0,0
1032,27.00,us,1,0
1033,399.30,ms,3,0
1034,100.00,ms,3,1
1035,668.58,us,3,0
1036,27.18,us,2,0
1037,499.96,ms,0,0
1038,27.32,us,1,0
1039,399.29,ms,3,0
1040,100.00,ms,3,1
1041,676.54,us,3,0
1042,27.52,us,2,0
1043,499.96,ms,0,0
1044,27.67,us,1,0
1045,399.28,ms,3,0
1046,100.00,ms,3,1
1047,684.49,us,3,0
1048,27.91,us,2,0
1049,499.96,ms,0,0
1050,28.05,us,1,0
1051,399.27,ms,3,0
1052,100.00,ms,3,1
1053,692.46,us,3,0
1054,28.24,us,2,0
1055,499.96,ms,0,0
1056,28.38,us,1,0
1057,399.27,ms,3,0
1058,100.00,ms,3,1
1059,700.43,us,3,0
1060,28.58,us,2,0
1061,499.96,ms,0,0
1062,28.74,us,1,0
1063,399.26,ms,3,0
1064,100.00,ms,3,1
1065,708.42,us,3,0
1066,28.89,us,2,0
1067,499.96,ms,0,0
1068,29.04,us,1,0
1069,399.25,ms,3,0
1070,100.00,ms,3,1
1071,716.37,us,3,0
1072,29.27,us,2,0
1073,499.96,ms,0,0
1074,29.42,us,1,0
1075,399.24,ms,3,0
1076,100.00,ms,3,1
1077,724.33,us,3,0
1078,29.60,us,2,0
1079,499.96,ms,0,0
1080,29.76,us,1,0
1081,399.23,ms,3,0
1082,100.00,ms,3,1
1083,732.30,us,3,0
1084,29.94,us,2,0
1085,499.96,ms,0,0
1086,30.09,us,1,0
1087,399.22,ms,3,0
1088,100.00,ms,3,1
1089,740.27,us,3,0
1090,30.29,us,2,0
1091,499.96,ms,0,0
1092,30.50,us,1,0
1093,399.22,ms,3,0
1094,100.00,ms,3,1
1095,748.24,us,3,0
1096,30.62,us,2,0
1097,499.96,ms,0,0
1098,30.81,us,1,0
1099,399.21,ms,3,0
1100,100.00,ms,3,1
1101,756.19,us,3,0
1102,30.98,us,2,0
1103,499.96,ms,0,0
1104,31.15,us,1,0
1105,399.20,ms,3,0
1106,100.00,ms,3,1
