Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
774,11,00,11,00,100.00,ms
775,11,00,10,00,40,ns
776,11,00,00,00,122.61,us
777,10,00,00,00,4.36,us
778,00,00,00,00,88.50,us
779,00,10,00,00,65.47,us
780,00,11,00,00,291.43,ms
781,00,11,00,01,107.54,us
782,00,11,00,11,208.29,ms
783,01,11,00,11,5.06,us
784,11,11,00,11,88.53,us
785,11,01,00,11,66.68,us
786,11,00,00,11,291.44,ms
787,11,00,00,10,64.68,us
788,11,00,00,00,108.20,ms
789,11,00,01,00,40,ns
790,11,00,11,00,100.00,ms
791,11,00,10,00,40,ns
792,11,00,00,00,126.78,us
793,01,00,00,00,1.98,us
794,00,00,00,00,91.13,us
795,00,10,00,00,57.76,us
796,00,11,00,00,291.45,ms
797,00,11,00,01,60.46,us
798,00,11,00,11,208.33,ms
799,10,11,00,11,1.37,us
800,11,11,00,11,111.06,us
801,11,01,00,11,40.38,us
802,11,00,00,11,291.45,ms
803,11,00,00,10,66.32,us
804,11,00,00,00,108.19,ms
805,11,00,01,00,40,ns
806,11,00,11,00,100.00,ms
807,11,00,10,00,40,ns
808,11,00,00,00,126.55,us
809,01,00,00,00,704,ns
810,00,00,00,00,116.91,us
811,00,10,00,00,33.22,us
812,00,11,00,00,291.46,ms
813,00,11,00,01,75.17,us
814,00,11,00,11,208.30,ms
815,01,11,00,11,16,ns
816,11,11,00,11,112.04,us
817,11,01,00,11,48.55,us
818,11,00,00,11,291.45,ms
819,11,00,00,10,75.59,us
820,11,00,00,00,108.18,ms
821,11,00,01,00,32,ns
822,11,00,11,00,100.00,ms
823,11,00,10,00,32,ns
824,11,00,00,00,125.73,us
825,10,00,00,00,1.54,us
826,00,00,00,00,111.22,us
827,00,10,00,00,43.50,us
828,00,11,00,00,291.46,ms
829,00,11,00,01,73.85,us
830,00,11,00,11,208.30,ms
831,01,11,00,11,2.30,us
832,11,11,00,11,110.73,us
833,11,01,00,11,36.85,us
834,11,00,00,11,291.48,ms
835,11,00,00,10,80.14,us
836,11,00,00,00,108.16,ms
837,11,00,01,00,32,ns
838,11,00,11,00,100.00,ms
839,11,00,10,00,40,ns
840,11,00,00,00,124.13,us
841,10,00,00,00,2.97,us
842,00,00,00,00,115.58,us
843,00,10,00,00,30.03,us
844,00,11,00,00,291.48,ms
845,00,11,00,01,75.02,us
846,00,11,00,11,208.28,ms
847,01,11,00,11,3.65,us
848,11,11,00,11,111.06,us
849,11,01,00,11,35.94,us
850,11,00,00,11,291.48,ms
851,11,00,00,10,78.66,us
